ParameterID,ToolTipExpression,ToolTipType,MinMax
1020563,"PN(16785417)OP(<)PN(16785418)",2,0
,,,
16796352,"PN(16783822)OP(=)PV(16783822)",2,0
111021,"PN(16795808)OP(=)PV(111021)",2,0
16824702,"PN(16824702)OP(<)PN(16824701)OP(+)PV(16824705)",1,1
16781431,"PN(16781638)OP(<)CT(2)",2,0
16798803,"PN(16798884)",1,2
16798805,"PN(16798803)OP(-)PN(16807179)",1,2
1020436,"PN(16824347)OP(>)PN(16824348)OP(-)PV(16824368)",3,0
1020436,"PN(16824347)OP(>)PN(16824348)OP(-)PV(16824368)",2,0
1020437,"PN(16824348)OP(<)PV(16824368)OP(+)PN(16824347)",3,0
1020437,"PN(16824348)OP(<)PV(16824368)OP(+)PN(16824347)",2,0
14293,"PN(13041)OP(=)PV(13041)",2,0
1020442,"PN(13041)OP(=)PV(13041)",2,0
10073,"PN(10080)OP(=)PV(10080)",2,0
16798803,"PN(16798805)OP(+)PN(16807179)",1,1
1020077,"PN(16783812)OP(=)PV(16783812)",2,0
101043,"PN(13030)OP(=)PV(13030)",2,0
1020562,"PN(16785417)OP(<)PN(16785418)",3,0
1020563,"PN(16785417)OP(<)PN(16785418)",3,0
16781432,"PN(16781638)OP(<)CT(3)",2,0
16781433,"PN(16781638)OP(<)CT(4)",2,0
16781434,"PN(16781638)OP(<)CT(5)",2,0
1020562,"PN(16785417)OP(<)PN(16785418)",2,0
16798807,"PN(16798805)OP(-)PN(16807179)",1,2
1020067,"PN(1020067)OP(=)PV(1020067)",2,0
16798805,"PN(16798807)OP(+)PN(16807179)",1,1
16824701,"PN(16824702)OP(<)PN(16824701)OP(+)PV(16824705)",1,2
